trucks,trucks-href,food type,payment,description,monday,tuesday,wednesday,thursday,friday
"Falafel Salam","http://www.seattlefoodtruck.com/index.php/trucks/falafel-salam/","Middle Eastern","Unknown","Gourmet, authentic falafel & shawarma","Downtown Seattle
1000 4th Ave, Downtown Public Library, 11a – 1:45p","Downtown Seasttle
401 Pine St, Westlake Park, 11a – 2p","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","Downtown Seattle
401 Pine St, Westlake Park, 11a – 2p"
"Off the Rez","http://www.seattlefoodtruck.com/index.php/trucks/off-the-rez/","Native American","Cash or Cards","Native American inspired cuisine including Indian tacos and fry bread","null","null","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","Downtown Seattle
2nd Ave and Pike St, 11a – 2p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p"
"Chopstix","http://www.seattlefoodtruck.com/index.php/trucks/chopstix/","Asian Fusion","Cash or Cards","Asian Fusion, like the truck’s name Chopstix. Our specialty is a little twist of Asian cuisine with western cuisine","null","Downtown Seattle
5th Ave and Pike St, 11a – 2p","South Lake Union
Terry Ave N and Republican St, 11a – 2p","South Lake Union
Terry Ave N and Republican St, 11a – 2p","null"
"Hungry Me","http://www.seattlefoodtruck.com/index.php/trucks/hungry-me/","Mixed East Asian","Cash or Cards","Mixed fast Asian cuisine featuring Singaporean (Hainan) chicken rice, Japanese and Chinese beef brisket, Thai peanut sauce curry","Ballard
907 NW Ballard Way, Trupanion, 11a – 2p","South Lake Union
2100 Westlake Ave, parking lot pod (Westlake and Lenora), 11a – 2p","Downtown Seattle
1600 7th Ave, across from Barnes and Noble, 11a – 2p","South Lake Union
500 Boren Ave N, 11a – 2p","null"
"Xplosive Truck","http://www.seattlefoodtruck.com/index.php/trucks/xplosive-truck/","Filipino-Vietnamese Fusion","Cash Only","Delicious banh mi and spicy fusion tacos","South Lake Union
Boren Ave N and Republican St, 11a – 1:30p","South Lake Union
425 Terry Ave N, south side of RepublicanSt, next to Northeastern University, 11a – 1:30p","South Lake Union
Boren Ave N and Republican St, 11a – 1:30p","South Lake Union
Boren Ave N and Thomas St, 11a – 1:30p","South Lake Union
425 Terry Ave N, south side of Republican St, next to Northeastern University, 11a – 2p"
"Fusion on the Run","http://www.seattlefoodtruck.com/index.php/trucks/fusion-on-the-run/","Sandwiches","Cash or Cards","Mexican, Hawaiian, Asian fusion tacos and sandwiches","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p","Downtown Seattle
2nd Ave and Union St, 11a – 2p","null","Downtown Seattle
2nd Ave and Union St, 11a – 2p","null"
"NaanSense","http://www.seattlefoodtruck.com/index.php/trucks/naansense/","Indian","Cash or Cards","Seattle’s only truck with an on-board Tandoori Oven serving fresh Naan to order!","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 1:30p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","South Lake Union
Boren Ave N and Republican St, 11a – 1:30p","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 1:30p","South Lake Union
Boren Ave N and Republican St, 11a – 1:30p"
"Now Make Me A Sandwich","http://www.seattlefoodtruck.com/index.php/trucks/now-make-me-a-sandwich/","Sandwiches","Cash or Cards","","South Lake Union
Terry Ave N and Thomas St, 11a – 1:45p","null","South Lake Union
Terry Ave N and Thomas St, 11a – 1:45p","Redmond
8763 and 8809 148th Ave NE, West Willows Technology Center, 11a – 1:45p","South Lake Union
Terry Ave N and Thomas St, 11a – 1:45p"
"Peasant Food Manifesto","http://www.seattlefoodtruck.com/index.php/trucks/peasant-food-manifesto","Global Fusion","Cash or Cards","Global Fusion Comfort Foods!","South Lake Union
219 Terry Ave N between Thomas & John!, 11a – 2p","null","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","South Lake Union
Terry Ave N and Thomas St, 11a – 2p","South Lake Union
219 Terry Ave N between Thomas & John, 11a – 2p"
"Lumpia World","http://www.seattlefoodtruck.com/index.php/trucks/lumpia-world/","Filipino","Cash or Cards","Lumpia, katsu sliders & steamy soup served up with love","Downtown Seattle
4th Ave and Pine St, 11:30a – 2p","South Lake Union
Westlake Ave N and Harrison St, 11a – 1:30p","Downtown Seattle
4th Ave and Pine St, 11:30a – 2p","Tacoma
Tacoma Broadway Farmers Market, 10:30a – 3p","Downtown Seattle
4th Ave and Pine St, 11:30a – 2p"
"Six Coins Japanese Food truck","http://www.seattlefoodtruck.com/index.php/trucks/six-coins-japanese-food-truck/","Japanese","Cash or Cards","Sushi, salad, and bento boxes","null","South Lake Union
1370 Stewart St, corner of Stewart and John, near REI, 11a – 2p","null","Bellevue
11911 NE 1st St., Eastridge Corporate Center, enter the parking lot, go uphill and we’re on the right, 11a – 2p","null"
"Wicked Pies","http://www.seattlefoodtruck.com/index.php/trucks/wicked-pies/","Pizza","Cash or Cards","Pizza & Gelato + Focaccia Sandwiches & Salads. Our menu is made with nothing but the best of Mother Nature’s finest. All products are made with natural, organic, and GMO free ingredients, with a hint of Twin Peaks","null","South Lake Union
860 Terry Ave N, South Lake Union Park, 11a – 3p","South Lake Union
860 Terry Ave N, South Lake Union Park, 11a – 3p","South Lake Union
860 Terry Ave N, South Lake Union Park, 11a – 3p","South Lake Union
860 Terry Ave N, South Lake Union Park, 11a – 3p"
"Kiss My Grits","http://www.seattlefoodtruck.com/index.php/trucks/kiss-my-grits/","null","null","null","null","null","South Lake Union
1415 Dexter Ave, 11a – 2p","Ballard
Stoup Brewing, 1108 NW 52nd St, 5p – 8p","Georgetown
6100 4th Ave S, Pacific Market Center, 11a – 2p"
"Yumbit Food Truck","http://www.seattlefoodtruck.com/index.php/trucks/yumbit-food-truck/","Taiwanese Bento","Cash or Cards","Yumbit Food Truck offers the authentic Taiwanese Bento, appetizers, fresh fruit juice, and many other Asian desserts, side dishes, etc.","South Lake Union
2000 9th Ave, 11a – 2p","Bellevue
400 108th Ave NE, 11a – 2p","South Lake Union
2000 9th Ave, 11a – 2p","Bellevue
10855 NE 8th St, 11a – 2p","null"
"Chewaya Authentic Moroccan Sandwiches","http://www.seattlefoodtruck.com/index.php/trucks/chewaya-authen%E2%80%A6can-sandwiches/","null","null","null","null","null","null","null","null"
"Narwhal","http://www.seattlefoodtruck.com/index.php/trucks/narwhal/","Seafood","Cash or Cards","A mobile extension of everything you know and love about The Walrus and the Carpenter and The Whale Wins.","null","null","null","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p","null"
"Hallava Falafel","http://www.seattlefoodtruck.com/index.php/trucks/hallava-falafel/","Mediterranean","Cash or Cards","Falafel and shwarma sandwiches","Georgetown
5825 Airport Way S, 11a – 3p","Georgetown
5825 Airport Way S, 11a – 3p","Georgetown
5825 Airport Way S, 11a – 3p","Georgetown
5825 Airport Way S, 11a – 3p","Georgetown
5825 Airport Way S, 11a – 3p"
"Bing of Fire","http://www.seattlefoodtruck.com/index.php/trucks/bing-of-fire/","Chinese crepes","Cash or Cards","Chinese crepes, also known at jianbing are a delicious traditional Chinese street snack.","null","University District
1536 NE 47th St, 11a – 2p","null","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","Downtown Seattle
401 Pine St, Westlake Park, 11a – 2p"
"I Love My GFF","http://www.seattlefoodtruck.com/index.php/trucks/i-love-my-gff/","Gluten-Free / Vegetarian","Cash or Cards","Healthy Food With Street Smarts. We serve up sprouted organic quinoa bowls loaded with layers of tangy sauces, veggies, and spice rubbed Draper Valley chicken. It’s mostly organic and 100% gluten free. Vegan options are available.","First Hill
1000 Minor Ave, 11a – 2p","South Lake Union
1016 Republican St, 11a – 2p","South Lake Union
1016 Republican St, 11a – 2p","South Lake Union
1016 Republican St, 11a – 2p","SoDo
2401 Utah Ave S, Starbucks HQ, 11a – 2p"
"Snout & Co.","http://www.seattlefoodtruck.com/index.php/trucks/snout-co/","Cuban","Cash or Cards","Cubans, rice and beans, tostones – Soul food from Cuba to South Carolina, just like grandma used to make.","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","null","Queen Anne
101 Elliot Ave W, PI Building, 11a – 2p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p"
"Buddha Bruddah","http://www.seattlefoodtruck.com/index.php/trucks/buddha-bruddah/","Asian","Cash or Cards","Gourmet Asian mixed plates","South Lake Union
Corner of Westlake and Harrison, 11a – 2p","South Lake Union
964 Republican St, 11a – 2p","Downtown Seattle
McGraw Park, 5th Ave and Stewart St, 11a – 2p","South Lake Union
219 Terry Ave N, 11a – 2p","South Lake Union
Corner of Westlake Ave and Harrison St, 11a – 2p"
"Kaosamai Thai Cook Truck","http://www.seattlefoodtruck.com/index.php/trucks/kaosamai-thai-cook-truck/","Thai","Cash only","Phad Thai, noodles, fried rice and curries","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","South Lake Union
Westlake Ave N and John St, 11a – 2p","SoDo
2401 Utah Ave S, Starbucks HQ, 11a – 2p","null","South Lake Union
Westlake Ave N and John St, 11a – 2p"
"Jemil’s Big Easy","http://www.seattlefoodtruck.com/index.php/trucks/jemils-big-easy/","Cajun / Creole","Cash or Cards","Down home cajun soul food","South Lake Union
Terry Ave N and Republican St, 11a – 2p","Downtown Seattle
7th Ave and Pine St, 11a – 2p","South Lake Union
8th Ave N and Republican St, 11a – 2p","null","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p"
"Bake My Day","http://www.seattlefoodtruck.com/index.php/trucks/bake-my-day/","Sweets","Cash or Cards","Serving up delicious whoopie pies, cakes, pies, bars, brownies, truffles, and cookies from Bertha Mae, our bakery-on-wheels!","null","null","South Lake Union
1250 Denny Way, ALL RISE, 11a – 2p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","null"
"Tat’s Truck","http://www.seattlefoodtruck.com/index.php/trucks/tats-truck/","Sandwiches","Cash or Cards","East Coast style deli sandwiches","South Lake Union
Terry Ave N and Thomas St, 10:30a – 2p","Bellevue
Alternating between Toys-R-Us in Bellevue AND T-Mobile HQ in Factoria (see tatstruck.com for current location), 10:30a – 2p","South Lake Union
Terry Ave N and Thomas St, 10:30a – 2p","Downtown Seattle
5th and Union, 10:30a – 2p","SoDo
2401 Utah Ave S, Starbucks HQ, 10:30a – 2p"
"314 PIE","http://www.seattlefoodtruck.com/index.php/trucks/314-pie/","Sweet and Savory Pies","Cash or Cards","We love pies – sweet and savory. We serve them up to the hungry people in Seattle in our fabulous food truck.","SoDO
2401 Utah Ave S, Starbucks HQ, 11a – 2p","null","South Lake Union
333 Boren Ave N, 11a – 2p","South Lake Union
Boren Ave N and Republican St, 11a – 2p","null"
"Motofish Coffee","http://www.seattlefoodtruck.com/index.php/trucks/motofish-coffee/","Coffee / espresso / baked goods","Cash or cards","Serving fresh brewed coffee and espresso in and around the Seattle area.","null","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","null","null","null"
"Here and There Grill","http://www.seattlefoodtruck.com/index.php/trucks/here-and-there-grill/","Sandwiches","Cash or Cards","Hearty sandwiches, salads and soups","null","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p","Edmonds
4th Ave and Dayton St, 11a – 7p","null","Edmonds
American Brewing Co, 5p – 8p"
